,feat_above_sma200,feat_golden_cross,feat_adx_14,feat_days_below_sma200,feat_vix_percentile_60d,feat_trend_strength_20d
2007-03-22,1.0,1.0,25.631853503278943,0.0,0.7333333333333333,-0.0003236176422232189
2007-03-23,1.0,1.0,24.001940592894158,0.0,0.7333333333333333,0.0006480945854338754
2007-03-26,1.0,1.0,22.94091954821147,0.0,0.7333333333333333,0.0016325791615396015
2007-03-27,1.0,1.0,21.95568572100612,0.0,0.75,0.0018987556510507114
2007-03-28,1.0,1.0,21.812305056342836,0.0,0.8166666666666667,0.002045554541735469
2007-03-29,1.0,1.0,22.288599360931237,0.0,0.8166666666666667,0.0021067124480811114
2007-03-30,1.0,1.0,22.6797740390924,0.0,0.7833333333333333,0.0019081119565424374
2007-04-02,1.0,1.0,23.043007668813484,0.0,0.75,0.0015691324289521641
2007-04-03,1.0,1.0,22.004075143639305,0.0,0.6666666666666666,0.0016025108570685907
2007-04-04,1.0,1.0,20.882413968118577,0.0,0.6333333333333333,0.0016024492508864463
2007-04-05,1.0,1.0,19.395510044225514,0.0,0.6166666666666667,0.0017182207030507052
2007-04-09,1.0,1.0,18.36962403782635,0.0,0.5833333333333334,0.0017431096524081137
2007-04-10,1.0,1.0,17.417015603312837,0.0,0.5333333333333333,0.0018759973014382547
2007-04-11,1.0,1.0,16.6064362536674,0.0,0.6833333333333333,0.0015374328075395075
2007-04-12,1.0,1.0,16.112894696256195,0.0,0.5166666666666667,0.0014394720887779796
