,feat_volume_ratio,feat_volume_trend_5d,feat_obv_roc_10d,feat_vol_price_divergence
2017-04-07,0.83282141377343,-848220.0000000015,0.003682135003264825,0
2017-04-10,0.7675914461319053,-1082950.0000000007,0.0027858743608647706,1
2017-04-11,1.583135666342807,32149.999999996384,-0.014749082380176366,1
2017-04-12,0.7598186458729935,1128129.9999999981,-0.023686306746828607,0
2017-04-13,1.113970944469374,1421569.9999999984,-0.03557799852473128,1
2017-04-17,0.6386676335388336,-1468300.0000000005,-0.02572016067242631,1
2017-04-18,0.6114423732788289,-4450430.0,-0.022584962174508973,0
2017-04-19,0.8839321566346411,-722270.0000000012,-0.021163094362666886,0
2017-04-20,1.1135115088205327,102909.99999999834,-0.004762536879735569,0
2017-04-21,1.1315353322284165,2739559.9999999986,-0.017363323417950587,1
2017-04-24,1.1337128706751778,2394769.9999999986,-0.005397135157666184,0
2017-04-25,0.9757897484287336,373119.99999999895,-0.004219339310106003,1
2017-04-26,1.2731604189145667,377069.99999999854,-0.0016726389417688107,1
2017-04-27,0.803990931964824,-970820.0000000006,0.008289850571416046,1
2017-04-28,1.1160247935808199,-264390.0000000011,0.02289167083712676,0
2017-05-01,1.2015340978967888,823559.999999999,0.026378017844679323,0
2017-05-02,0.8999127808011804,-542780.0000000013,0.03624381320794297,1
2017-05-03,1.1397057416725658,1095539.999999999,0.023098958791251113,1
2017-05-04,0.7301270676914993,-1727150.0000000014,0.0206707735951797,1
2017-05-05,0.9635158231681028,-1468460.0000000016,0.0338217805879763,0
2017-05-08,0.6676836181484612,-1462730.0000000005,0.030746181903967235,1
2017-05-09,1.3846228783941432,784679.9999999988,0.03334125258125797,0
2017-05-10,1.0318888145012308,2083399.9999999984,0.04781724849868507,1
2017-05-11,1.332963284661654,2302229.999999998,0.03421579278896905,1
2017-05-12,0.9755875749566602,1172339.999999999,0.03304919967477632,1
2017-05-15,0.9947055205323474,-1665040.0000000002,0.03148388602287531,0
2017-05-16,1.035576369122655,-417760.00000000023,0.0323486284365042,0
2017-05-17,2.4264601030114563,5886759.999999997,0.022905244319553982,1
2017-05-18,1.7289724514436662,7832349.999999998,0.03088670022944946,1
2017-05-19,1.4923479286161507,5203149.999999998,0.03594563188176755,1
2017-05-22,0.7974769745931619,-2346470.000000002,0.03767070930876476,1
2017-05-23,0.8042465032383305,-9371960.000000002,0.03475386389198423,0
2017-05-24,0.6620492619908137,-6789860.0,0.03318155975056678,1
2017-05-25,0.9809331995830073,-2922080.0000000033,0.048693994341617426,0
2017-05-26,0.5784105735437168,-707510.0000000002,0.04666553358151018,1
2017-05-30,0.8560068526412346,-80250.00000000183,0.04633264210515562,0
2017-05-31,1.3581616135234957,3105279.999999998,0.029942977222571436,1
2017-06-01,0.8286565152911048,1176199.999999998,0.05296910167951934,1
2017-06-02,1.4648485385122438,4655689.999999998,0.05112253356249264,0
2017-06-05,0.6233504646542154,-516430.00000000105,0.035330630304775894,0
2017-06-06,0.8717895511780721,-2606600.0000000023,0.02302158285856077,1
2017-06-07,0.7475048657003236,-1738650.0000000002,0.02264848728515833,1
2017-06-08,0.9986029129814371,-2049610.000000002,0.025270370344095437,0
2017-06-09,3.7113487448166937,19113679.999999996,-0.01289083224712195,1
2017-06-12,3.088864515377343,25506329.999999996,-0.04632070079226783,0
2017-06-13,1.448097761095975,14373779.999999996,-0.037365089160755434,1
2017-06-14,1.6125081287783642,1076209.9999999981,-0.04534826873682703,1
2017-06-15,1.480708766760283,-15363720.000000007,-0.06634747105542274,0
2017-06-16,1.2795732715713153,-10878100.000000007,-0.08950026361107372,0
2017-06-19,1.0503866999702856,-3513940.000000004,-0.07435644492955322,1
2017-06-20,1.0551126507530242,-5383610.000000004,-0.0800648802039189,1
2017-06-21,0.9026180630936678,-4595590.000000005,-0.0748917806212531,1
2017-06-22,0.6023260902790561,-5185970.000000005,-0.08817613229536354,0
2017-06-23,0.5427640730954268,-5278040.0,-0.05313143105164298,1
2017-06-26,0.8408473055688287,-2713710.000000002,-0.033993441941897386,1
2017-06-27,1.5265576308035167,7074079.999999998,-0.0677284423428419,1
2017-06-28,1.292916921590998,11095969.999999998,-0.03397331960090916,1
2017-06-29,1.8551905036676677,15724629.999999996,-0.04471113969340449,1
2017-06-30,1.393771931208679,9178599.999999996,-0.009461328506468204,1
2017-07-03,0.6522034611507214,-5485050.000000004,-0.03131149270616233,0
2017-07-05,0.821424527918255,-8659360.000000002,-0.006201400417263174,0
2017-07-06,0.9180782392491361,-10745950.000000004,-0.031701736108854094,1
2017-07-07,0.6932423571185207,-4822230.000000005,-0.013248973265004587,1
2017-07-10,0.5063547227380133,-2103320.0000000014,-0.012189290842976043,1
2017-07-11,0.6936668459283659,-4477480.000000004,0.007934334466187997,0
2017-07-12,0.8067726664906705,-3022210.000000002,0.04008060857574637,0
2017-07-13,0.7188304708557498,-60130.00000000178,0.031254938493721955,1
2017-07-14,0.8186364393078104,1893849.9999999984,0.0711811150282667,0
2017-07-17,0.617212075810083,-1385000.0000000023,0.056164008806103165,1
2017-07-18,0.6378622664901027,-2632500.000000001,0.07506968684094294,0
2017-07-19,0.8436445711421982,-343890.00000000227,0.07150817822801445,0
